,Status,Number_of_Properties,Consent,Minor_Variance,Official_Plan_Rezoning,Site_Plan_Application,lat,lon,Council,Average_Income,Secondary_Plan,Business_Improvement_Area,Site_and_Area_Specific_Policy,Zoning_Category
115,Denied,More Than One Property,0,0,1,0,43.6007434,-79.50620830104577,Etobicoke York Community Council,44101,0,1,1,Commercial Residential
117,Approved,One Property,1,0,0,0,43.8034881,-79.1924159,Scarborough Community Council,39556,0,0,0,Employment Industrial
118,Denied,One Property,0,1,0,0,43.5889243,-79.5363561,Etobicoke York Community Council,47384,0,0,0,Residential
119,Approved,One Property,0,1,0,0,43.6623267275862,-79.34302672068965,Toronto and East York Community Council,53803,0,0,0,Residential
120,Approved,One Property,0,1,0,0,43.70991888600071,-79.24936074825655,Scarborough Community Council,54360,0,0,1,Commercial Residential
121,Approved,One Property,1,0,0,0,43.69935478,-79.45948082666666,North York Community Council,34768,0,0,0,Employment Industrial
122,Approved,One Property,0,1,0,0,43.7811487,-79.297927,Scarborough Community Council,34200,0,0,0,Residential Apartment
123,Approved,One Property,1,0,0,1,43.774994,-79.3314831,North York Community Council,36359,0,0,0,Employment Industrial
124,Denied,More Than One Property,0,0,1,0,43.7298626,-79.2898429,Scarborough Community Council,35047,0,0,1,Employment Industrial
125,Approved,One Property,0,1,0,0,43.77064765714285,-79.42547977142857,North York Community Council,44576,0,0,0,Residential
126,Approved,More Than One Property,0,0,0,1,43.7777205,-79.390203,North York Community Council,52035,0,0,0,Residential
127,Approved,One Property,0,1,0,0,43.6610984,-79.5046094,Etobicoke York Community Council,144642,0,0,0,Residential
128,Approved,One Property,0,1,0,0,43.7914580382118,-79.40548855247536,North York Community Council,45212,0,0,0,Residential
129,Approved,One Property,0,1,0,0,43.67047865714286,-79.30761662857142,Toronto and East York Community Council,92580,0,0,0,Residential
130,Approved,One Property,1,1,0,0,43.70049962727273,-79.38061107727273,North York Community Council,85340,1,0,0,Residential
131,Approved,One Property,0,1,0,0,43.68444918461539,-79.38235047692308,Toronto and East York Community Council,207903,0,0,0,Residential
132,Approved,One Property,0,1,0,0,43.6903839,-79.4324082,Toronto and East York Community Council,65274,0,0,0,Residential
133,Approved,One Property,0,1,0,0,43.7058246,-79.440383,North York Community Council,38527,0,0,0,Residential
134,Approved,One Property,0,1,0,0,43.77113742858314,-79.23170143918541,Scarborough Community Council,30878,0,0,0,Residential
135,Denied,One Property,0,1,0,0,43.61719549999999,-79.49426662991897,Etobicoke York Community Council,54438,0,0,0,Residential
136,Approved,One Property,0,1,0,0,43.68667993478261,-79.28398588695651,Scarborough Community Council,54360,0,0,0,Residential
137,Approved,One Property,1,1,0,0,43.6966262,-79.2743974,Scarborough Community Council,26793,0,0,0,Residential
138,Approved,One Property,1,1,0,0,43.696672,-79.2744171,Scarborough Community Council,26793,0,0,0,Residential
139,Denied,More Than One Property,0,0,0,1,43.78580777333333,-79.41721446,North York Community Council,34904,1,0,0,Commercial Residential
140,Approved,One Property,0,1,0,0,43.7601021,-79.378738,North York Community Council,100516,0,0,0,Residential
141,Approved,One Property,0,1,0,0,43.6012924,-79.51967074999999,Etobicoke York Community Council,44101,0,0,0,Residential
142,Denied,One Property,0,1,0,0,43.67523535,-79.41175161921697,Toronto and East York Community Council,165047,0,0,1,Residential
142,Denied,One Property,0,1,0,0,43.67523535,-79.41175161921697,Toronto and East York Community Council,165047,0,0,1,Residential
143,Approved,One Property,1,0,0,0,43.734692403063,-79.4001672100819,North York Community Council,111730,0,0,0,Residential
144,Approved,One Property,0,1,0,0,43.71288609248648,-79.37318984929277,North York Community Council,125564,0,0,0,Residential
145,Approved,One Property,1,0,0,0,43.59337486293245,-79.53519027499974,Etobicoke York Community Council,47384,0,0,0,Residential
146,Approved,More Than One Property,1,0,0,0,43.66712199459459,-79.31886712972972,Toronto and East York Community Council,46206,0,0,0,Residential
147,Approved,One Property,1,1,0,0,43.61867585,-79.53847984999999,Etobicoke York Community Council,52787,0,0,0,Employment Industrial
149,Approved,One Property,0,0,0,1,43.662297,-79.51958350008272,Etobicoke York Community Council,101551,0,0,0,Commercial Residential
150,Denied,More Than One Property,0,0,1,0,43.72397536666666,-79.49460066666667,North York Community Council,34168,0,0,0,Residential
152,Approved,One Property,1,0,0,0,43.6863079,-79.4745942,Etobicoke York Community Council,33316,0,0,0,Residential
153,Approved,One Property,0,1,0,0,43.6957965,-79.3713726,North York Community Council,125564,0,0,0,Residential
155,Denied,More Than One Property,0,0,1,0,43.66660245,-79.52009065,Etobicoke York Community Council,101551,0,0,0,Residential
156,Approved,More Than One Property,0,0,0,1,43.7080816625,-79.4440181,North York Community Council,38527,0,0,0,Commercial Residential
157,Approved,One Property,1,0,0,0,43.71391245497914,-79.5710041254575,Etobicoke York Community Council,31771,0,0,0,Employment Industrial
158,Approved,One Property,0,0,0,1,43.67596899999999,-79.45323371234998,Toronto and East York Community Council,41717,0,1,0,Commercial Residential
160,Approved,More Than One Property,0,0,1,0,43.68437893333333,-79.39986880000001,Toronto and East York Community Council,114174,1,0,0,Residential
161,Approved,One Property,1,1,0,0,43.72203502,-79.41730747999999,North York Community Council,123077,0,0,0,Residential
162,Approved,One Property,0,1,0,0,43.72649745720962,-79.43761913143379,North York Community Council,48134,1,0,0,Residential
163,Denied,More Than One Property,0,0,1,0,43.783427715,-79.398227365,North York Community Council,45326,1,0,0,Residential
165,Denied,One Property,0,0,1,0,43.66724044999999,-79.38804306227188,Toronto and East York Community Council,56526,0,0,1,Commercial Residential
166,Approved,More Than One Property,0,0,0,1,43.6954562,-79.4527991,North York Community Council,34768,0,1,0,Commercial Residential
167,Approved,One Property,0,1,0,0,43.7799868,-79.3762165,North York Community Council,52035,0,0,0,Residential
168,Approved,One Property,0,1,0,0,43.75515189337593,-79.38874608204375,North York Community Council,100516,0,0,0,Residential
169,Approved,One Property,1,0,0,0,43.69348455294118,-79.44081675294117,Toronto and East York Community Council,39803,0,1,0,Commercial Residential
170,Approved,One Property,1,0,0,0,43.60258376666666,-79.50245223333333,Etobicoke York Community Council,44101,0,0,0,Residential
172,Approved,One Property,0,0,0,1,43.63500685,-79.49245814956768,Etobicoke York Community Council,64140,0,0,0,Residential Apartment
173,Denied,More Than One Property,0,0,1,0,43.687902,-79.29716332621952,Toronto and East York Community Council,54324,0,0,0,Employment Industrial
174,Approved,One Property,0,1,0,0,43.7580528,-79.4549077,North York Community Council,45936,0,0,0,Residential
175,Approved,More Than One Property,0,0,0,1,43.67158391666667,-79.37636995833334,Toronto and East York Community Council,32648,0,0,0,Residential
176,Approved,More Than One Property,0,0,1,0,43.71211925,-79.364082,North York Community Council,28875,0,0,0,Employment Industrial
177,Denied,One Property,0,1,0,0,43.661034,-79.403056,Toronto and East York Community Council,50757,0,0,0,Residential
178,Approved,One Property,1,0,0,0,43.68603990188281,-79.28166021916427,Scarborough Community Council,54360,0,0,0,Residential Apartment
179,Denied,One Property,0,1,0,0,43.6708623,-79.2840888,Toronto and East York Community Council,92580,0,0,0,Residential
180,Denied,One Property,0,1,0,0,43.6094449,-79.5314206,Etobicoke York Community Council,47709,0,0,0,Residential
181,Approved,One Property,0,0,0,1,43.7104609,-79.4109226,North York Community Council,89330,1,0,0,Residential
182,Approved,More Than One Property,1,0,0,0,43.67784850121205,-79.49184150811257,Etobicoke York Community Council,34059,0,0,0,Residential
183,Approved,One Property,0,1,0,0,43.70063482,-79.37724794,North York Community Council,85340,1,0,0,Residential
184,Denied,One Property,0,0,1,0,43.6684764,-79.3959716,Toronto and East York Community Council,112766,0,0,1,Commercial Residential
185,Denied,One Property,0,1,0,0,43.7610029,-79.4138672,North York Community Council,72371,1,0,0,Commercial Residential
