,Status,Number_of_Properties,Consent,Minor Variance,Official Plan Rezoning,Site Plan Application,Secondary_Plan,Average_Income,Etobicoke York Community Council,North York Community Council,Scarborough Community Council,Toronto and East York Community Council
497,1,0,1,0,0,0,0,36232,0,0,1,0
498,0,0,0,0,1,1,0,165047,0,0,0,1
499,1,0,0,0,0,1,0,50694,0,0,0,1
499,1,0,0,0,0,1,0,50694,0,0,0,1
500,1,0,0,0,1,0,1,58915,0,0,0,1
501,1,1,0,0,0,1,0,53583,0,0,0,1
502,1,0,1,0,0,0,0,54360,0,0,1,0
503,1,0,0,1,0,0,1,169203,0,1,0,0
504,0,0,1,1,0,0,0,36232,0,0,1,0
505,1,1,0,0,0,1,0,49709,0,0,0,1
506,1,0,0,1,0,0,0,45326,0,1,0,0
507,0,1,0,0,1,0,0,44718,0,0,1,0
508,1,1,0,0,1,0,0,30033,0,0,1,0
509,1,0,1,1,0,0,0,45936,0,1,0,0
510,1,0,0,0,0,1,0,54460,0,0,0,1
511,1,0,0,1,0,0,0,42516,0,1,0,0
513,1,0,0,1,0,0,1,85340,0,1,0,0
514,1,0,0,1,0,0,0,169203,0,1,0,0
